name,game_id,rating,complexity_rating,year_published,min_players,max_players,min_play_time,max_play_time,min_age,owned_by,top_2000
Last Defense!,303053,6.50623,1.2222,2020,2,6,20,20,8,1160,0
Yacht Rock,303054,5.44898,1.25,2020,3,6,25,25,12,163,0
Pan Am,303057,7.54487,2.4152,2020,2,4,60,60,12,11436,1
Deep Vents,303159,6.42057,2.7059,2020,2,4,40,60,13,1280,0
Pingyao: First Chinese Banks,303263,7.31168,3,2017,1,4,60,90,10,298,0
Tortuga,303276,6.29525,2,2020,2,6,20,20,8,143,0
Unlock!: The Escape Room Game – In Pursuit of the Iron Mask,303418,6.51021,1.5,2020,1,6,60,60,10,705,0
Escape from Flat Earth,303524,5.67879,1,2020,1,6,15,30,8,191,0
Bill & Ted's Riff in Time,303544,6.81364,2,2020,1,4,60,80,14,193,0
Cónclave,303548,6.59273,2,2020,2,4,25,30,10,234,0
Polis,303551,8.20099,3.8246,2020,2,2,60,120,12,1751,0
Skulls of Sedlec,303553,7.4262,1.2821,2020,2,3,20,20,8,5270,1
Winter Kingdom,303554,7.40143,2.64,2020,2,4,45,60,14,1454,0
Tiny Acrobats,303621,6.63279,1,2021,2,4,20,20,8,358,0
Rat Attack Party,303635,6.84074,1.25,2020,2,4,20,20,8,239,0
Disney Hocus Pocus: The Game,303648,6.01467,1.4545,2020,2,6,30,30,8,1965,0
Disney Jungle Cruise Adventure Game,303650,5.67471,1.1538,2020,2,4,45,60,8,1604,0
Battle of Britain,303661,6.65594,2,2020,2,2,20,45,8,100,0
Magic Rabbit,303669,7.22661,1.125,2020,1,4,3,3,8,695,0
Trek 12: Himalaya,303672,6.85961,1.4423,2020,1,50,15,30,8,3925,1
Oh My Brain,303676,7.04363,1.0833,2021,2,5,10,15,8,707,0
Primal: The Awakening,303731,7.86618,3.375,2023,1,4,60,90,14,221,0
Space Lunch,303733,6.21963,1.1765,2020,1,2,20,20,14,1523,0
Golems,303734,6.37202,1.75,2020,1,2,20,20,14,1531,0
Animals in Espionage,303812,7.25169,1.6667,2022,2,2,10,15,9,143,0
Mass Transit,303830,6.54879,1.3846,2021,1,6,15,20,8,647,0
RUN,303883,5.22632,1,2020,1,8,15,45,6,124,0
Pax Viking,303954,7.19589,3.2545,2021,1,6,60,90,12,2277,0
La Spedizione Perduta,303961,7.20078,2.0667,2020,1,5,30,50,14,211,0
Munchkin Critical Role,303981,6.94737,1.6667,2021,3,6,60,60,10,961,0
Lost in Valhalla,304021,4.72857,1,2020,2,6,20,40,8,268,0
新幕 桜降る代に決闘を 基本セット (A Duel for Falling Cherry Blossoms: New Act – Basic Set),304042,8.29718,3.4286,2018,2,2,20,20,0,192,0
Creature Comforts,304051,7.51945,2.3452,2022,1,5,45,45,8,8515,1
Tipping Point,304155,6.73,2.5,2020,2,4,60,90,9,133,0
Infinity Gauntlet: A Love Letter Game,304285,7.0172,1.1875,2020,2,6,15,15,10,7785,1
Dive,304324,6.55428,1.5,2021,1,4,20,30,8,1906,0
Zoollywood,304333,7.39038,2.1429,2021,2,2,30,30,10,342,0
Million Dollar Script,304336,5.79651,1,2021,3,10,45,60,14,235,0
Bonfire,304420,7.69136,3.6409,2020,1,4,70,100,12,10384,1
Victim: The Cursed Forest,304434,7.0594,2.7143,2020,2,6,45,90,14,325,0
Detective Charlie,304450,7.16537,1.1667,2021,1,5,25,25,7,368,0
Friday the 13th: Horror at Camp Crystal Lake,304490,6.38211,1.5,2020,3,6,60,60,17,274,0
Pampero,304510,7.90408,3.7857,2023,1,4,60,150,14,120,0
Ascension Tactics: Miniatures Deckbuilding Game,304531,8.07486,2.5,2022,1,4,60,60,0,1504,0
World of Tanks Miniatures Game,304620,7.33942,1.7778,2020,2,99,30,30,14,453,0
Bamboo Bash,304665,4.44231,1,2021,2,8,10,15,7,123,0
Wild Life: The Card Game,304666,8.3442,1.3333,2021,2,5,15,25,6,136,0
Robot Quest Arena,304668,8.0095,2,2023,2,4,30,60,0,766,0
Ctrl,304679,5.77698,1.1667,2020,2,4,20,20,7,1198,0
SpongeBob SquarePants: Plankton Rising,304728,7.0274,2,2020,1,4,45,60,6,437,0
Gears of War: The Card Game,304766,7.42424,3.1429,2023,2,2,30,60,14,132,0
Hadrian's Wall,304783,8.05033,3.1145,2021,1,6,30,60,12,12034,1
Animal Upon Animal: Christmas Edition,304821,7.21652,1,2020,2,4,20,20,5,423,0
Hidden Games Crime Scene: The New Haven Case,304847,8.20547,2.4706,2019,1,6,90,180,14,1060,0
They Live: Assault on Cable 54,304937,6.22667,3.6667,2022,1,6,120,200,13,400,0
Key Enigma: Hack Forward,304983,8.07935,3,2021,1,6,480,960,14,345,0
Dark Ages: Holy Roman Empire,304985,7.87129,3.3226,2021,1,4,120,180,14,1083,0
Sock Monsters,304987,6.87986,1.2,2020,2,4,15,25,6,388,0
Mutabo: Family & Kids,305053,7.58974,1,2020,3,6,20,20,8,134,0
Endless Winter: Paleoamericans,305096,7.81771,3.2832,2022,1,4,60,120,12,12712,1
Dinosaur Table Battles,305221,6.84674,1.8,2020,2,2,30,45,0,330,0
Chronicles of Waral,305270,7.1144,1.8,2020,2,4,30,45,10,123,0
Dungeon Breakout,305460,5.67265,1.4444,2021,2,6,5,65,8,149,0
The Age of Atlantis,305462,7.41787,3.375,2022,1,4,90,90,14,1467,0
Gierki Małżeńskie: Znamy się,305587,5.75,1,2017,2,8,45,60,18,108,0
Catan: 25th Anniversary Edition,305668,7.75198,2.25,2020,3,6,60,120,10,853,0
Rolling Realms,305682,7.1743,1.9114,2021,1,6,30,30,14,8076,1
Gate,305752,7.35728,1.75,2020,1,1,15,30,12,1408,0
Whale Riders,305761,7.08102,1.8621,2021,2,6,30,45,8,1751,0
Immune,305772,7.09298,2.375,2021,1,6,45,60,14,183,0
Sea Change,305838,6.46708,1.5,2021,1,8,20,40,8,263,0
Napoleon's Imperium,305855,7.62647,2.25,2021,2,8,240,900,12,129,0
Dice Command,305865,7.57833,2.1667,2021,2,4,25,60,0,130,0
"Coalition: The Napoleonic Wars, 1805-1815",305872,6.33913,2.4444,2021,2,6,240,360,12,127,0
GPS,305984,5.30702,1.1111,2020,2,5,10,10,6,2310,0
Mountain Goats,305985,6.98484,1.0476,2020,2,4,20,20,6,4624,1
Sequoia,305986,6.65632,1.1875,2020,2,5,10,10,6,2980,0
Merv: The Heart of the Silk Road,306040,7.54165,3.4595,2020,1,4,90,90,14,6463,1
Sedan 1870,306065,7.02941,3.4,2020,2,2,180,240,12,111,0
Merchants of Qultah,306072,7.87158,2,2021,2,4,30,45,10,100,0
The Butterfly Garden (Second Edition),306074,6.32824,1.5,2021,2,5,30,30,14,368,0
Shitty Friends,306142,5.59388,1,2019,3,22,20,40,18,266,0
MATCH 5,306169,6.27055,1.3333,2021,2,8,20,20,10,587,0
Lisbon Tram 28,306173,7.1002,2.2857,2021,2,4,45,60,8,748,0
Bandada,306182,6.37127,1.7857,2022,1,2,10,20,10,676,0
Philosophia: Floating World,306202,7.0161,3.1818,2021,1,6,45,75,16,460,0
Operation Rösselsprung 1944,306230,6.70455,3.25,2020,1,1,60,90,16,101,0
Little Factory,306300,6.42931,2,2020,1,4,20,40,12,1181,0
Eternal Palace,306311,6.51309,2.7222,2022,1,5,60,90,14,857,0
Night of the Ninja,306321,7.23557,1.9474,2021,4,11,15,30,12,2058,0
French and Indian War 1757-1759,306348,7.64524,2.25,2020,2,2,60,120,14,158,0
Crash!,306443,5.32647,1.3333,2021,2,6,10,60,6,112,0
Tawantinsuyu: The Inca Empire,306481,7.44595,4.0978,2020,1,4,60,120,14,5620,1
I C E,306482,7.5209,2.6923,2023,1,5,90,120,14,681,0
Rolling Village,306494,6.9189,1.625,2022,1,12,10,15,8,316,0
Clou: Roll & Heist. Again!,306577,7.956,2.3333,2020,1,3,15,60,14,156,0
Resident Evil 3: The Board Game,306637,8.06553,2.4,2021,1,4,60,90,14,1245,0
Prosperitea,306650,6.60541,1.5,2022,3,6,20,40,12,210,0
Coup + Reforma,306656,6.85593,1,2016,2,10,15,15,10,494,0
Tales from the Loop: The Board Game,306676,6.93311,3.4,2022,1,5,90,180,14,1187,0
GOLD,306680,6.73123,1,2020,2,5,15,15,6,1881,0
Get Out of Colditz: The Card Game,306687,6.90927,2,2020,1,6,5,60,7,239,0
Smash Up: Marvel,306697,7.30722,2.2,2021,2,4,30,60,12,2073,0
The Night Cage,306709,7.14775,2.0556,2021,1,5,40,60,14,4219,0
Under Falling Skies,306735,7.70435,2.3948,2020,1,1,20,40,12,22096,1
El portero Baldomero,306745,6.76587,1.1667,2017,3,8,15,20,10,629,0
The Silver River: Deluxe Edition,306799,7.54186,3.3333,2020,1,5,90,120,14,130,0
Railroad Ink Challenge: Lush Green Edition,306881,7.67552,2.1224,2021,1,4,15,30,8,7823,1
Railroad Ink Challenge: Shining Yellow Edition,306882,7.58123,2.05,2021,1,4,15,30,8,4946,1
Regicide,307002,7.47068,1.9293,2020,1,4,10,30,10,6788,1
Space Marine Adventures: Rise of the Orks,307033,7.1133,2,2020,1,5,30,30,10,324,0
The House on the Borderland,307041,7.43939,2,2020,1,1,30,90,13,130,0
Trailblazer: The John Muir Trail,307044,7.84531,2.7826,2023,1,4,30,120,14,1217,0
Quest for the Lost Pixel,307161,8.62532,2,2015,1,4,15,240,8,237,0
El Valle Secreto,307170,7.58112,1.5,2021,2,4,30,40,10,604,0
Shadow Network,307182,7.69455,3,2021,1,5,45,120,14,161,0
Four against the Great Old Ones,307191,7.92188,3,2020,1,4,20,120,10,264,0
Thru the Appalachian,307250,6.4973,2,2020,1,99,20,30,8,137,0
Bullet♥︎,307305,7.66717,2.1045,2021,1,4,10,20,13,4811,1
