BGGId,Name,YearPublished,Complexity,ComplexityCategory,AvgRating,MinPlayers,MaxPlayers,NumOwned,MfgPlaytime,ComMinPlaytime,ComMaxPlaytime,MfgAgeRec,NumUserRatings,TotalMechanics,boardgamerank,strategygamesrank,abstractsrank,familygamesrank,thematicrank,cgsrank,wargamesrank,partygamesrank,childrensgamesrank,Cat:Thematic,Cat:Strategy,Cat:War,Cat:Family,Cat:CGS,Cat:Abstract,Cat:Party,Cat:Childrens
515,6-Tage Rennen,1986,1.76,Low complexity,6.90602,3,8,255,60,60,60,8,248,1,5518,21926,21926,1358,21926,21926,21926,21926,21926,0,0,0,1,0,0,0,0
14403,"Warhammer 40,000: Battle for Macragge",2004,3,High complexity,6.63558,2,2,818,120,60,120,12,364,3,5519,21926,21926,21926,21926,21926,1039,21926,21926,0,0,1,0,0,0,0,0
272085,Bloom,2019,1.4,Low complexity,6.62466,1,5,755,20,20,20,8,309,2,5520,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0
164031,Munchkin Steampunk,2015,1.8333,Low complexity,6.57992,3,6,1477,90,60,90,12,367,5,5521,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0
161965,Johari,2014,2.1538,Average complexity,6.30748,2,4,1248,90,60,90,10,453,2,5522,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0
4454,Statis Pro Football,1973,2.55,Average complexity,6.55241,1,2,816,120,120,120,12,402,0,5523,1879,21926,21926,819,21926,21926,21926,21926,1,1,0,0,0,0,0,0
147768,Five Cucumbers,2013,1.3148,Low complexity,5.90735,2,6,2006,25,25,25,8,1225,2,5524,21926,21926,1419,21926,21926,21926,21926,21926,0,0,0,1,0,0,0,0
307963,Durian,2020,1.1667,Low complexity,6.94273,2,7,454,20,20,20,7,227,3,5525,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0
145393,Gem Rush,2013,1.8333,Low complexity,6.66526,1,6,602,45,45,45,13,306,5,5526,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0
174611,Ion: A Compound Building Game,2015,1.3684,Low complexity,6.41043,2,7,1914,40,20,40,8,440,4,5527,21926,21926,1373,21926,21926,21926,21926,21926,0,0,0,1,0,0,0,0
171544,Think Str8!,2015,2.3333,Average complexity,6.93851,2,4,280,60,60,60,10,228,4,5528,21926,21926,1333,21926,21926,21926,21926,21926,0,0,0,1,0,0,0,0
87,Victory: World War II,1998,2.5962,Average complexity,6.36869,2,4,828,120,120,120,12,418,3,5529,21926,21926,21926,21926,21926,1076,21926,21926,0,0,1,0,0,0,0,0
285554,Fire!,2019,1.6923,Low complexity,6.50279,1,2,768,25,25,25,10,358,3,5530,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0
212370,Omen: Edge of the Aegean,2016,2,Average complexity,7.39132,2,2,824,30,20,30,0,167,3,5531,21926,21926,21926,21926,21926,21926,21926,21926,0,0,0,0,0,0,0,0
103061,Carnac,2011,2.4444,Average complexity,6.94228,2,2,380,20,20,20,8,247,2,5532,21926,193,21926,21926,21926,21926,21926,21926,0,0,0,0,0,1,0,0
187104,4 Gods,2016,2.1905,Average complexity,6.00133,2,4,1665,30,15,30,8,882,3,5533,1800,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0
151446,La Fallera Calavera,2014,1.8333,Low complexity,7.12852,2,5,492,30,30,30,10,300,4,5534,21926,21926,1463,21926,21926,21926,404,21926,0,0,0,1,0,0,1,0
5222,Old Town,2000,2.2619,Average complexity,6.39313,1,4,516,45,45,45,10,393,3,5535,1747,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0
